name	region	country	lat	lon	tz_id	localtime_epoch	localtime	last_updated_epoch	last_updated	temp_c	temp_f	is_day	wind_mph	wind_kph	wind_degree	wind_dir	pressure_mb	pressure_in	precip_mm	precip_in	humidity	cloud	feelslike_c	feelslike_f	vis_km	vis_miles	uv	gust_mph	gust_kph	text	co	no2	o3	so2	pm2_5	pm10	us-epa-index	gb-defra-index							
Kancheepuram	Tamil Nadu	India	12.83	79.72	Asia/Kolkata	1617900474	08-04-2021 22:17	1617900300	08-04-2021 22:15	28	82.4	0	6.9	11.2	170	S	1009	30.3	0	0	74	25	29.1	84.3	6	3	1	16.6	26.6	Partly cloudy	383.8999939	8.100000381	101.5999985	4.099999905	20.79999924	27.89999962	2	2							
Kanyakumari	Tamil Nadu	India	8.08	77.55	Asia/Kolkata	1617900474	08-04-2021 22:17	1617900300	08-04-2021 22:15	30	86	0	5.6	9	310	NW	1010	30.3	0.2	0.01	75	50	35.4	95.6	3	1	1	11.2	18	Mist	250.3000031	3.5	62.90000153	1.799999952	22.5	26.10000038	2	2							
Karur	Tamil Nadu	India	10.95	78.08	Asia/Kolkata	1617900474	08-04-2021 22:17	1617900300	08-04-2021 22:15	29	84.2	0	5.6	9	160	SSE	1010	30.3	0	0	70	50	27.9	82.3	5	3	1	19.2	31	Mist	333.7999878	5	128.8000031	4.800000191	23.79999924	35.59999847	2	2							
Krishnagiri	Tamil Nadu	India	12.53	78.23	Asia/Kolkata	1617900475	08-04-2021 22:17	1617900300	08-04-2021 22:15	33	91.4	0	7.6	12.2	120	ESE	1007	30.2	0	0	20	2	34.5	94.1	10	6	1	11.9	19.1	Partly cloudy	337.1000061	5.800000191	108.6999969	7.400000095	35.29999924	56.29999924	2	3							
Madurai	Tamil Nadu	India	9.93	78.12	Asia/Kolkata	1617900475	08-04-2021 22:17	1617900300	08-04-2021 22:15	35.4	95.7	0	10.3	16.6	141	SE	1007	30.2	0	0	40	1	37.7	99.9	10	6	1	13.4	21.6	Clear	370.5	5.599999905	133	6.400000095	25.79999924	31.79999924	2	3							
Nagapattinam	Tamil Nadu	India	10.77	79.83	Asia/Kolkata	1617900476	08-04-2021 22:17	1617900300	08-04-2021 22:15	28.2	82.8	0	10.1	16.2	144	SE	1008	30.2	0	0	62	0	30.1	86.2	10	6	1	15.9	25.6	Clear	323.7999878	2.599999905	45.79999924	1.5	5.900000095	8.699999809	1	1							
Namakkal	Tamil Nadu	India	11.23	78.17	Asia/Kolkata	1617900476	08-04-2021 22:17	1617900300	08-04-2021 22:15	29	84.2	0	5.6	9	160	SSE	1010	30.3	0	0	70	50	27	80.5	5	3	1	11.4	18.4	Mist	363.7999878	8.5	100.0999985	3	24.39999962	43.29999924	2	3							
Perambalur	Tamil Nadu	India	11.23	78.88	Asia/Kolkata	1617900477	08-04-2021 22:17	1617900300	08-04-2021 22:15	29	84.2	0	5.6	9	160	SSE	1010	30.3	0	0	70	50	29.1	84.3	5	3	1	13.4	21.6	Mist	353.7999878	4.699999809	144.5	3.299999952	21.79999924	29.39999962	2	2							
Pudukkottai	Tamil Nadu	India	10.38	78.82	Asia/Kolkata	1617900477	08-04-2021 22:17	1617900300	08-04-2021 22:15	29	84.2	0	5.6	9	160	SSE	1010	30.3	0	0	70	50	29.4	84.9	5	3	1	14.8	23.8	Mist	337.1000061	4	83	0.600000024	11	14.89999962	1	1							
Ramanathapuram	Tamil Nadu	India	9.38	78.83	Asia/Kolkata	1617900478	08-04-2021 22:17	1617900300	08-04-2021 22:15	29.5	85.1	0	8.3	13.3	158	SSE	1008	30.2	0	0	55	0	31.5	88.7	10	6	1	11.9	19.1	Clear	327.1000061	2.299999952	75.09999847	0.600000024	27.20000076	32.09999847	2	3							
Salem	Tamil Nadu	India	11.65	78.17	Asia/Kolkata	1617900478	08-04-2021 22:17	1617900300	08-04-2021 22:15	33.8	92.8	0	9.2	14.8	105	ESE	1008	30.2	0	0	27	2	34.6	94.3	10	6	1	13.6	22	Partly cloudy	360.5	9.399999619	94.40000153	8.399999619	25.39999962	44.5	2	3							
Sivaganga	Tamil Nadu	India	9.87	78.48	Asia/Kolkata	1617900479	08-04-2021 22:17	1617900300	08-04-2021 22:15	29	84.2	0	5.6	9	160	SSE	1010	30.3	0	0	70	50	29.4	84.9	5	3	1	14.5	23.4	Mist	323.7999878	3.200000048	87.30000305	0.699999988	15.60000038	19.60000038	2	2							
